index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/20 02:02:01.591, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:02:01.592, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:03:01.594, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:03:01.595, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:04:01.596, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:04:01.598, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:05:01.600, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:05:01.601, 1.20 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:06:01.602, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:06:01.604, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:07:01.605, 22.03 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:07:01.606, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:08:01.608, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:08:01.609, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:09:01.611, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:09:01.612, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:10:01.614, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:10:01.615, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:11:01.617, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:11:01.618, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:12:01.620, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:12:01.621, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:13:01.623, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:13:01.624, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:14:01.626, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:14:01.632, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:15:01.634, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:15:01.635, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:16:01.637, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:16:01.638, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:17:01.640, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:17:01.641, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:18:01.643, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:18:01.644, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:19:01.646, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:19:01.647, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:20:01.649, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:20:01.651, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:21:01.652, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:21:01.654, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:22:01.656, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:22:01.657, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:23:01.658, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:23:01.660, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:24:01.662, 22.03 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:24:01.663, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:25:01.665, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:25:01.666, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:26:01.667, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:26:01.669, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:27:01.671, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:27:01.672, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:28:01.674, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:28:01.676, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:29:01.677, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:29:01.679, 1.07 W, 35, 0 %, 21 MiB
0, 2023/03/20 02:30:01.680, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:30:01.682, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:31:01.683, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:31:01.684, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:32:01.686, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:32:01.687, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:33:01.689, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:33:01.691, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:34:01.692, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:34:01.694, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:35:01.695, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:35:01.696, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:36:01.698, 22.03 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:36:01.700, 1.07 W, 34, 0 %, 21 MiB
