index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
1, 2023/03/17 02:05:04.728, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:06:04.749, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:06:04.755, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:07:04.760, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:07:04.769, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:08:04.773, 24.66 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:08:04.777, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:09:04.781, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:09:04.805, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:10:04.810, 24.86 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:10:04.814, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:11:04.840, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:11:04.849, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:12:04.855, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:12:04.882, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:13:04.888, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:13:04.913, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:14:04.918, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:14:04.922, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:15:04.949, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:15:04.958, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:16:04.961, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:16:04.973, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:17:04.978, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:17:04.986, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:18:04.991, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:18:05.018, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:19:05.024, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:19:05.049, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:20:05.054, 24.86 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:20:05.058, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:21:05.061, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:21:05.065, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:22:05.068, 24.75 W, 45, 0 %, 0 MiB
