index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/16 04:19:04.421, 251.90 W, 62, 100 %, 4440 MiB
0, 2023/03/16 04:20:04.422, 260.02 W, 62, 100 %, 4440 MiB
0, 2023/03/16 04:21:04.424, 250.37 W, 62, 100 %, 4440 MiB
0, 2023/03/16 04:22:04.426, 254.72 W, 62, 100 %, 4440 MiB
0, 2023/03/16 04:23:04.428, 253.17 W, 63, 100 %, 4448 MiB
0, 2023/03/16 04:24:04.429, 248.22 W, 63, 94 %, 4448 MiB
0, 2023/03/16 04:25:04.431, 255.49 W, 63, 100 %, 4450 MiB
0, 2023/03/16 04:26:04.432, 253.38 W, 64, 100 %, 4452 MiB
0, 2023/03/16 04:27:04.435, 258.27 W, 63, 100 %, 4452 MiB
0, 2023/03/16 04:28:04.436, 252.99 W, 63, 100 %, 4452 MiB
0, 2023/03/16 04:29:04.437, 254.31 W, 63, 100 %, 4455 MiB
0, 2023/03/16 04:30:04.440, 260.79 W, 64, 100 %, 4343 MiB
0, 2023/03/16 04:31:04.441, 252.08 W, 64, 100 %, 4365 MiB
0, 2023/03/16 04:32:04.443, 254.64 W, 63, 100 %, 4366 MiB
0, 2023/03/16 04:33:04.445, 255.37 W, 63, 100 %, 4363 MiB
0, 2023/03/16 04:34:04.446, 253.14 W, 63, 100 %, 4363 MiB
0, 2023/03/16 04:35:04.448, 256.48 W, 63, 100 %, 4351 MiB
0, 2023/03/16 04:36:04.450, 260.23 W, 64, 100 %, 4365 MiB
0, 2023/03/16 04:37:04.452, 260.32 W, 64, 100 %, 4382 MiB
0, 2023/03/16 04:38:04.454, 264.75 W, 64, 100 %, 4367 MiB
0, 2023/03/16 04:39:04.455, 253.70 W, 63, 100 %, 4360 MiB
0, 2023/03/16 04:40:04.457, 251.27 W, 62, 100 %, 4364 MiB
0, 2023/03/16 04:41:04.458, 255.95 W, 62, 100 %, 4360 MiB
0, 2023/03/16 04:42:04.469, 252.36 W, 62, 100 %, 4374 MiB
0, 2023/03/16 04:43:04.471, 255.82 W, 63, 100 %, 4378 MiB
0, 2023/03/16 04:44:04.472, 257.97 W, 64, 100 %, 4388 MiB
0, 2023/03/16 04:45:04.474, 270.77 W, 64, 100 %, 4271 MiB
0, 2023/03/16 04:46:04.475, 260.91 W, 64, 100 %, 4375 MiB
0, 2023/03/16 04:47:04.477, 260.31 W, 64, 100 %, 4378 MiB
0, 2023/03/16 04:48:04.479, 257.73 W, 63, 100 %, 4385 MiB
0, 2023/03/16 04:49:04.480, 259.67 W, 64, 100 %, 4385 MiB
0, 2023/03/16 04:50:04.482, 257.53 W, 63, 100 %, 4385 MiB
0, 2023/03/16 04:51:04.484, 256.49 W, 62, 100 %, 4385 MiB
0, 2023/03/16 04:52:04.486, 258.24 W, 62, 100 %, 4421 MiB
0, 2023/03/16 04:53:04.488, 259.25 W, 62, 100 %, 4423 MiB
0, 2023/03/16 04:54:04.489, 261.49 W, 63, 100 %, 4427 MiB
0, 2023/03/16 04:55:04.491, 252.84 W, 62, 100 %, 4429 MiB
0, 2023/03/16 04:56:04.492, 258.43 W, 62, 100 %, 4454 MiB
0, 2023/03/16 04:57:04.494, 255.11 W, 63, 100 %, 4454 MiB
0, 2023/03/16 04:58:04.496, 254.27 W, 64, 100 %, 4454 MiB
0, 2023/03/16 04:59:04.497, 255.29 W, 63, 100 %, 4454 MiB
0, 2023/03/16 05:00:04.499, 262.13 W, 64, 100 %, 4379 MiB
0, 2023/03/16 05:01:04.501, 261.55 W, 64, 100 %, 4401 MiB
0, 2023/03/16 05:02:04.503, 266.77 W, 64, 100 %, 4401 MiB
0, 2023/03/16 05:03:04.505, 265.04 W, 63, 100 %, 4401 MiB
0, 2023/03/16 05:04:04.506, 263.31 W, 62, 99 %, 4401 MiB
0, 2023/03/16 05:05:04.508, 260.46 W, 62, 100 %, 4415 MiB
0, 2023/03/16 05:06:04.509, 256.81 W, 62, 100 %, 4415 MiB
0, 2023/03/16 05:07:04.511, 252.44 W, 62, 100 %, 4415 MiB
0, 2023/03/16 05:08:04.513, 251.98 W, 62, 100 %, 4415 MiB
0, 2023/03/16 05:09:04.514, 251.01 W, 62, 100 %, 4415 MiB
0, 2023/03/16 05:10:04.516, 244.87 W, 63, 98 %, 4423 MiB
0, 2023/03/16 05:11:04.518, 256.57 W, 64, 100 %, 4423 MiB
0, 2023/03/16 05:12:04.520, 257.30 W, 64, 100 %, 4423 MiB
0, 2023/03/16 05:13:04.522, 257.47 W, 63, 100 %, 4425 MiB
0, 2023/03/16 05:14:04.523, 260.12 W, 64, 100 %, 4425 MiB
0, 2023/03/16 05:15:04.525, 254.29 W, 63, 100 %, 4425 MiB
0, 2023/03/16 05:16:04.526, 256.19 W, 64, 100 %, 4428 MiB
0, 2023/03/16 05:17:04.529, 254.71 W, 63, 100 %, 4428 MiB
0, 2023/03/16 05:18:04.530, 263.53 W, 64, 100 %, 4258 MiB
0, 2023/03/16 05:19:04.531, 254.94 W, 64, 100 %, 4377 MiB
0, 2023/03/16 05:20:04.533, 263.93 W, 63, 100 %, 4384 MiB
0, 2023/03/16 05:21:04.535, 256.63 W, 63, 100 %, 4384 MiB
